Author,Albert Einstein,Alexandre Dumas fils,Alfred Tennyson,Allen Saunders,André Gide,Ayn Rand,Bob Marley,C.S. Lewis,Charles Bukowski,Charles M. Schulz,Douglas Adams,Dr. Seuss,E.E. Cummings,Eleanor Roosevelt,Elie Wiesel,Ernest Hemingway,Friedrich Nietzsche,Garrison Keillor,George Bernard Shaw,George Carlin,George Eliot,George R.R. Martin,Harper Lee,Haruki Murakami,Helen Keller,J.D. Salinger,J.K. Rowling,J.M. Barrie,J.R.R. Tolkien,James Baldwin,Jane Austen,Jim Henson,Jimi Hendrix,John Lennon,Jorge Luis Borges,Khaled Hosseini,Madeleine L'Engle,Marilyn Monroe,Mark Twain,Martin Luther King Jr.,Mother Teresa,Pablo Neruda,Ralph Waldo Emerson,Stephenie Meyer,Steve Martin,Suzanne Collins,Terry Pratchett,Thomas A. Edison,W.C. Fields,William Nicholson
J.K. Rowling,0.04654615194987403,0.0,0.023292691937913265,0.0,0.0,0.0,0.05602476787502413,0.018281721770136355,0.030921338010810737,0.015786782153122614,0.0,0.05109147352367288,0.09647506039447593,0.019994220672833456,0.01741009759905899,0.0,0.01171382009131071,0.031507328533084265,0.0,0.0,0.0,0.016116320489960746,0.0288047474649891,0.0,0.0,0.0,1.0000000000000004,0.04848317707844165,0.0,0.0344299462237701,0.03815434081732593,0.027773370406365485,0.09373293198948106,0.0768808597759111,0.039668766771019534,0.030070550759968853,0.0,0.16733107480972373,0.06758964187349722,0.0,0.20554396627272997,0.020583125083769714,0.0,0.0,0.0,0.10678020145122821,0.05535115501368916,0.024262428714699875,0.0,0.0
J.M. Barrie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051826185314119484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04848317707844165,1.0,0.0,0.0,0.0,0.0,0.293979027752323,0.0,0.0,0.0,0.0,0.031474145809899254,0.06357235275272191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.R.R. Tolkien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Baldwin,0.012831451545077668,0.0,0.0,0.0,0.0,0.0,0.05934496113375334,0.11665426661063091,0.0,0.1541734300917907,0.051418869525665566,0.07178020813359445,0.0,0.0,0.05241361483539792,0.0,0.11439695597486199,0.032260451827912595,0.0,0.0,0.0,0.0,0.0,0.0626078796201105,0.0,0.0,0.0344299462237701,0.0,0.0,1.0,0.14926731457874162,0.0,0.060101386450221485,0.0,0.0,0.0,0.0,0.05225075419973008,0.025993599404377576,0.0,0.2077061333798708,0.2670268244843891,0.04508914531674937,0.0,0.0,0.10453468237963527,0.0,0.0,0.0,0.0
Jane Austen,0.03559407473604193,0.0,0.0,0.0,0.0,0.0,0.07051459741946159,0.08490545062899177,0.03540382206815859,0.1076592243856685,0.027388382881170986,0.06787745010122019,0.09425176594824165,0.06774345245131183,0.020938677248362562,0.02730889221110257,0.04570035756692512,0.017183606227309522,0.0,0.0,0.0,0.0,0.08442280228177432,0.08257321398663497,0.0,0.11134931584161373,0.03815434081732593,0.0,0.0,0.14926731457874162,0.9999999999999999,0.029762495677947934,0.0,0.029769650970449892,0.060299239569452025,0.0,0.03994812424252347,0.07517377316621343,0.10923330415463192,0.0,0.1316573950030693,0.10370574239096461,0.053162568035100784,0.034454146003041045,0.06672254316355535,0.08636571966605656,0.05206423122974349,0.0,0.0,0.0
Jim Henson,0.0,0.0,0.11529857366091867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028595063559717238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027773370406365485,0.0,0.0,0.0,0.029762495677947934,1.0000000000000002,0.09842087254503258,0.0,0.0,0.0,0.0,0.017365839188567107,0.04256661759514954,0.0,0.08377444653181672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jimi Hendrix,0.17838715958389897,0.0,0.08254263097742884,0.097096535310278,0.0,0.08568865370368925,0.07076625981078474,0.03166165456371411,0.0,0.0,0.0,0.0,0.0,0.0,0.027621783502558818,0.0,0.0,0.0,0.1586186040599193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09373293198948106,0.293979027752323,0.0,0.060101386450221485,0.0,0.09842087254503258,1.0000000000000004,0.09081458474365585,0.0,0.0,0.0,0.04422116969031942,0.24345441987801547,0.0,0.05997440389635948,0.09581382803390898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Lennon,0.082803129550646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036465360046486796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0768808597759111,0.0,0.0,0.0,0.029769650970449892,0.0,0.09081458474365585,1.0000000000000002,0.0,0.0,0.0,0.14920699526793588,0.035084436424756046,0.0,0.0,0.0,0.0,0.0,0.0,0.10357296122375763,0.0,0.0,0.0,0.0
Jorge Luis Borges,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0495644411675545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039668766771019534,0.0,0.0,0.0,0.060299239569452025,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khaled Hosseini,0.0,0.0,0.0,0.0,0.2272349130402758,0.0,0.13795449783166058,0.0,0.0,0.17167205869249558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030070550759968853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05190807415020135,0.16085474838550365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
