Author,AvgQuoteLength,StdQuoteLength,MaxQuoteLength,AvgWordCount,StdWordCount,MaxWordCount,AvgYearOfBirth,believe,best,book,come,day,die,doesn,don,drink,forget,friends,going,good,great,happens,high,hurt,indifference,just,know,let,life,like,little,live,lives,ll,love,make,makes,man,music,opposite,people,person,read,reading,really,remember,small,tales,thing,things,think,thinking,time,truth,want,way,world
George R.R. Martin,91.0,14.142135623730951,101,18.5,0.7071067811865476,19,1948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9535950483779214,0.0,0.0,0.0,0.0,0.30109215152359836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harper Lee,148.0,0.0,148,27.0,0.0,27,1926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5861056346111364,0.0,0.0,0.5594286104179461,0.0,0.0,0.0,0.0,0.5861056346111364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haruki Murakami,110.0,0.0,110,20.0,0.0,20,1949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49265630952312706,0.516149216470195,0.0,0.0,0.0,0.0,0.0,0.0,0.4404104082563178,0.5449022107899364,0.0,0.0,0.0,0.0,0.0
Helen Keller,153.0,0.0,153,31.0,0.0,31,1880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.D. Salinger,241.0,0.0,241,47.0,0.0,47,1919.0,0.0,0.0,0.4350109625237302,0.0,0.0,0.0,0.47490213714815693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3927246133862972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47490213714815693,0.4532866210125637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.K. Rowling,118.44444444444444,59.220163608164555,252,22.0,10.897247358851683,46,1965.0,0.0,0.0,0.0,0.286876584972504,0.0,0.0,0.0,0.0,0.0,0.0,0.5934892296738848,0.0,0.23985462457024753,2.196501112905567,0.0,0.0,0.0,0.0,0.5436368903249644,0.0,0.0,0.0,0.0,0.0,1.7905304386305028,0.0,0.0,0.612422750719358,0.23985462457024753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8606297549175121,0.0,0.0,0.5755653588377891,0.0,0.0,0.0,0.2489131737969445,0.5523596531131748,0.0,0.0,0.0
J.M. Barrie,42.0,0.0,42,8.0,0.0,8,1860.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.R.R. Tolkien,36.0,0.0,36,7.0,0.0,7,1892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Baldwin,118.0,0.0,118,27.0,0.0,27,1924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9074138481598942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27277145263305375,0.0,0.0,0.0,0.0,0.31968084521301254,0.0
Jane Austen,171.8,86.4216408083068,309,33.4,17.126003620226175,59,1775.0,0.0,0.0,0.49430894981742146,0.0,0.3831871407738438,0.0,0.0,0.0,0.0,0.0,0.6096949959467239,0.0,0.6617535012320027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4462583887178329,0.44162957176486684,0.0,0.0,0.0,1.2968545059435597,0.0,0.0,0.0,0.0,0.0,0.9073989502525897,0.7497214840240245,0.0,0.5396378411198057,0.9812298643098583,0.0,0.0,0.0,0.5150758323401677,0.0,0.35694158721996494,0.0,0.0,0.0,0.0,0.0,0.3831871407738438
Jim Henson,134.0,0.0,134,27.0,0.0,27,1936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Jimi Hendrix,103.0,0.0,103,25.0,0.0,25,1942.0,0.0,0.0,0.0,0.0,0.0,0.6742319059107529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3047928563615129,0.25647257987899025,0.0,0.0,0.29250418536510003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29250418536510003,0.0,0.33711595295537644,0.3193272692457467,0.0
John Lennon,117.0,0.0,117,25.0,0.0,25,1940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5481369933401704,0.0,0.6317370284097616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5481369933401704
Jorge Luis Borges,65.0,0.0,65,12.0,0.0,12,1899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khaled Hosseini,64.0,0.0,64,13.0,0.0,13,1965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7373984960862395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6754579616599038,0.0,0.0,0.0
Madeleine L'Engle,139.0,0.0,139,27.0,0.0,27,1918.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marilyn Monroe,240.85714285714286,372.716348166372,1084,45.142857142857146,69.06380762606072,201,1926.0,1.544341756168326,0.26627307093745645,0.0,0.24931262605050633,0.0,0.0,0.9706049708626258,0.22540822157704907,0.0,0.0,0.35423562442207696,0.35423562442207696,0.5414604965599312,0.0,0.0,0.12465631302525317,0.0,0.0,1.345527800028836,0.0,0.11270411078852453,0.18967317280307763,0.09764611679382196,0.0,0.0,0.0,0.49862525210101266,0.6540061329191904,1.208447776690099,0.12465631302525317,0.7373984960862395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24931262605050633,0.5229540402416121,0.0,0.11270411078852453,0.0,0.0,0.0,0.0,0.10816009439011944,0.0,0.0,0.5619097439788128
Mark Twain,73.16666666666667,18.956968815363563,104,14.0,4.69041575982343,22,1835.0,0.0,0.0,0.49385772775042547,0.0,0.0,0.486280568540554,0.0,0.5146056535545842,0.0,0.0,0.45827848888916956,0.0,0.8090134830710048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7380280790947215,0.0,0.0,0.0,0.486280568540554,0.0,0.0,0.0,0.0,0.4606208774103278,0.0,0.0,1.1697675561147318,0.0,0.5146056535545842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4219293104134423,1.279821783010377,0.0,0.6110619672027316,0.5597335402842711
