,Albert Einstein,J.K. Rowling,Jane Austen,Marilyn Monroe,André Gide,Thomas A. Edison,Eleanor Roosevelt,Steve Martin,Bob Marley,Dr. Seuss,Douglas Adams,Elie Wiesel,Friedrich Nietzsche,Mark Twain,Allen Saunders,Pablo Neruda,Ralph Waldo Emerson,Mother Teresa,Garrison Keillor,Jim Henson,Charles M. Schulz,William Nicholson,Jorge Luis Borges,George Eliot,George R.R. Martin,C.S. Lewis,Martin Luther King Jr.,James Baldwin,Haruki Murakami,Alexandre Dumas fils,Stephenie Meyer,Ernest Hemingway,Helen Keller,George Bernard Shaw,Charles Bukowski,Suzanne Collins,J.R.R. Tolkien,Alfred Tennyson,Terry Pratchett,J.D. Salinger,George Carlin,John Lennon,W.C. Fields,Ayn Rand,Jimi Hendrix,J.M. Barrie,E.E. Cummings,Khaled Hosseini,Harper Lee,Madeleine L'Engle
Allen Saunders,0.04593054014579537,0.0020608925538489853,0.0022438981911309824,0.021706051884076517,0.00236015315979171,0.002310143558395941,0.0008204166434563409,0.0013993614429700678,0.035673249585457166,0.0023031176835767012,0.0026848580149439047,0.023315123482097126,0.002100263277127653,0.041457045541393095,1.0,0.00221859906100519,0.0022655235363582475,0.0034317163158860933,0.002128864461612505,0.0024318823341012625,0.0018703431616397708,0.0026935885707962412,0.00456895091914557,0.003023773142147568,0.0044397130639162695,0.01647837296642001,0.0037794386066550383,0.0018493708887957151,0.001833960918760312,0.003297470177651124,0.0024387621543997848,0.003866380586643632,0.0028812816610953875,0.11679432175825043,0.11664135271768888,0.00214793032068295,0.004083038831452506,0.0005234361572247731,0.0022971101526246644,0.0019438124501806229,0.002291355122709643,0.0034840131063573654,0.0024425971678829644,0.0018068156968680544,0.04670422923446291,0.0024005893346529385,0.003481278782632796,0.002060927712397569,0.0020199247533489125,0.0018263685978209612
Pablo Neruda,0.012437204941764597,0.017140144749417673,0.05928900560204072,0.03754092127178062,0.01029031244035946,0.014590934818123236,0.01846250762745467,0.02916278102091351,0.023208430144606412,0.01912561827137156,0.006831305582585001,0.020115995835191882,0.049715866162816785,0.04977700941606192,0.00221859906100519,1.0,0.007466275374716936,0.07197994446746087,0.00908517534323402,0.009400341262077254,0.054400671202145576,0.057650903338827546,0.004153056485699902,0.005991286302506581,0.003954874153004657,0.0388701219446489,0.0025079176972913017,0.14692199943986534,0.00831368825382768,0.006083951156780755,0.0016978470629905892,0.004739658937053506,0.006780806454806805,0.005759939436115937,0.014687893832277586,0.03914832883866155,0.004672330800405229,0.0004561142689969456,0.006987341205973841,0.008636705922944804,0.029481058801153672,0.0013807150220448117,0.001866891746678376,0.005157478461191714,0.05784580273031383,0.007384003772285932,0.005032448039708642,0.007984953357037538,0.011319600304971115,0.0063052413228476345
Ralph Waldo Emerson,0.0254572808635026,0.018857462803343192,0.041048000856088174,0.014111489141351175,0.018955797108008585,0.00792940596576634,0.039994732507781156,0.06321062093922049,0.017859838940934958,0.027783800809090473,0.004508938092858353,0.0032546983859038413,0.008308725864332185,0.008940553559443898,0.0022655235363582475,0.007466275374716936,1.0,0.004331338526436034,0.020342029049642517,0.005318236483289092,0.010377641449065573,0.004624280575661941,0.003961343412844831,0.004410340757245694,0.004555343520424632,0.025380979687056122,0.002238583479084077,0.030812717509032778,0.006035191028557898,0.005149391959427027,0.0018279382471990233,0.004173247393632064,0.031864123630225616,0.004555152736893643,0.020555283037234147,0.028594843486649688,0.004482895240671311,0.00045324753047041265,0.014810990899676113,0.004935370290418593,0.00697922772118425,0.0014336376219877011,0.0019399640650763807,0.003393700138300208,0.004459266867131391,0.004155264462531233,0.004097944275737443,0.019290219023188893,0.00926573657408371,0.003972923342532523
Mother Teresa,0.005988295400335692,0.09517459825880478,0.07176441598959074,0.03226057540218767,0.005291080144837342,0.006220542737290837,0.0007047433299359004,0.0011125270484103015,0.01731599337456046,0.050141493929177015,0.01191816320353766,0.02209978529646108,0.0430284394219337,0.04687963959750319,0.0034317163158860933,0.07197994446746087,0.004331338526436034,1.0,0.004247607517940366,0.0551973602584794,0.054911303579290624,0.011508267613118883,0.0124800163833604,0.023246146093568093,0.006511893395258584,0.04196353841356481,0.0034013772812920315,0.11439013443365542,0.0036772718247178216,0.023988348797055487,0.001831934292989187,0.027378243268740856,0.017032935091852833,0.05028020196201999,0.018677083091133785,0.04002888445652085,0.014582942165395879,0.03997662927953238,0.10682649906891506,0.00438273400898637,0.006079750455084329,0.0017420541652905218,0.001970686300200595,0.003763796039065798,0.0380796587134857,0.007520739698504735,0.06424811092361409,0.003916624011468207,0.075368321418186,0.003867312901500553
Garrison Keillor,0.013640757379709456,0.03157048844411352,0.018196529002270666,0.060434989388627305,0.018598175045657375,0.009756215948019899,0.0006447634796226255,0.0009816404701121747,0.03232934280869187,0.06994358848989433,0.03849960290168925,0.0030435228268794576,0.012136068880645065,0.010435765869716881,0.002128864461612505,0.00908517534323402,0.020342029049642517,0.004247607517940366,1.0,0.005938344002297787,0.011427234989836865,0.0048720816388968715,0.003703089643944395,0.004483804566752504,0.0039750742791527125,0.020286137272272745,0.002164660645460264,0.030902808343649203,0.04810805023672537,0.004949025262436257,0.0017046639578723061,0.003993050460005291,0.0049118673048955345,0.004501556056398518,0.035687439136654106,0.0045322439055745,0.004157505875237453,0.0004475168159935451,0.010363994321301253,0.006133216763596297,0.008318105934671804,0.001364318863838379,0.00181716017990988,0.003902650555943448,0.0053197575000081855,0.004535065030162602,0.004032125883187244,0.041354657813153346,0.015546841701941113,0.0047363838277398014
Jim Henson,0.005097317188096141,0.020028728901588036,0.018993603093669056,0.01912823426512197,0.0072309821397375925,0.0144880535473405,0.0006614281415493421,0.0010106756796763744,0.0021457490885236985,0.039190738577402,0.018336611809236136,0.00341994050920337,0.00933292756286277,0.03102728176573711,0.0024318823341012625,0.009400341262077254,0.005318236483289092,0.0551973602584794,0.005938344002297787,1.0,0.003995105795539592,0.01669788543580078,0.005120116805562684,0.011333725046991443,0.0041804487560296024,0.0021534452741537985,0.0026214314640796697,0.005187049134063884,0.006251978791415098,0.008752756557892842,0.001605280789019792,0.006446314534226573,0.014285714285714285,0.00933292756286277,0.010968040669153474,0.013102104475407281,0.005771865946967029,0.063670202897227,0.004634752804496042,0.009349539966147421,0.01334443799338317,0.0014429547377111476,0.001732282710141135,0.006438188736817889,0.06413672469883178,0.015793088090261864,0.007668381906951964,0.005320366273520514,0.007225617252312909,0.007186889061022663
Charles M. Schulz,0.003979205473456728,0.02714904273913695,0.06597378288273398,0.05730598522195804,0.007628398349630215,0.005451740141554012,0.0006277119595902982,0.0009434652129162857,0.05529431877988898,0.004651619900158439,0.0034064433945022675,0.015443171964399363,0.03453171038505949,0.006197396216687786,0.0018703431616397708,0.054400671202145576,0.010377641449065573,0.054911303579290624,0.011427234989836865,0.003995105795539592,1.0,0.0034669438595523647,0.002890756361653779,0.0032542199742167945,0.00320380349999468,0.05148195839377576,0.0018885539568771917,0.09220285506720563,0.006358592395027043,0.0035400072930814475,0.001649540911610222,0.0030278423757889054,0.003487413049526746,0.0032811214708705523,0.006060718735373946,0.028598483780815493,0.0031611817168100383,0.00044021670931098197,0.008178344768000822,0.05080350461967194,0.005070674366536068,0.0012729092806236613,0.0017425026269458092,0.0031698004549316422,0.003930749048127982,0.003325382812793938,0.0030238287740626795,0.09617101195914626,0.008060254844074721,0.003752138955432037
William Nicholson,0.10184351359641043,0.0038168219086613642,0.003546750666683309,0.00684232145523042,0.0059541960152858465,0.008843214551231594,0.08283344781723374,0.13095414164079078,0.03541601262147948,0.07948940169316418,0.027653810580462113,0.003996371376131032,0.006451884968280917,0.05281176790935933,0.0026935885707962412,0.057650903338827546,0.004624280575661941,0.011508267613118883,0.0048720816388968715,0.01669788543580078,0.0034669438595523647,1.0,0.006230437752814263,0.018888901006484025,0.004585257521144104,0.0023527448772409096,0.003039527525811167,0.004181517441853079,0.1635569310110583,0.011120241405269453,0.0016889956496116065,0.008405172612330985,0.022165025484970454,0.013612243245700859,0.007214351837063963,0.009517651262723368,0.006981589963099857,0.0004645440790496636,0.004318955587421662,0.00637021211545787,0.00970972177574945,0.0015302313168648605,0.0018440798901876913,0.0052614642497644535,0.007200675679980027,0.01897352136203696,0.01096332215195019,0.004438345119155853,0.005410041624470185,0.005455758184130436
Jorge Luis Borges,0.006092139716115385,0.0244481291878624,0.03427295912151398,0.0038836205852308425,0.004506350238201161,0.004592425557674081,0.000731521960585592,0.0011822755298526958,0.002958801341559646,0.029907214725307756,0.006198722227471846,0.0053004466223569875,0.0038097668799458614,0.004155804009626641,0.00456895091914557,0.004153056485699902,0.003961343412844831,0.0124800163833604,0.003703089643944395,0.005120116805562684,0.002890756361653779,0.006230437752814263,1.0,0.008291282709432728,0.010439830835025801,0.003684154702015481,0.0037799087804074494,0.0029942280020683718,0.0030219945437803012,0.011495030116828685,0.0020654096851936976,0.021527495710844693,0.0074966710107331825,0.010608897597245693,0.004055054578586516,0.003918563218841798,0.031056539362426208,0.00048539562920767295,0.003873959652497977,0.0033578371464199905,0.004490511219537963,0.0019998554373830057,0.0021999486036519216,0.0029188102843729323,0.0034917778734769463,0.004787993458519798,0.012342318883220703,0.003470368891027726,0.0035170888868973696,0.0030091382478284064
George Eliot,0.005536818651152896,0.003632132863369534,0.0034944390427327256,0.005733350036940467,0.005538297176165479,0.007294735711803675,0.0006906516820245475,0.0010770904354066968,0.00245146141427517,0.008263602003848498,0.022088647744421135,0.0040908711889092435,0.00547614904458645,0.005483219396473794,0.003023773142147568,0.005991286302506581,0.004410340757245694,0.023246146093568093,0.004483804566752504,0.011333725046991443,0.0032542199742167945,0.018888901006484025,0.008291282709432728,1.0,0.005303097979551242,0.0025970764397982697,0.003154414528647149,0.003755656697426569,0.0041124534823530805,0.016555167490559974,0.001727807485707657,0.012921180862655467,0.03309781813046941,0.030866704681675357,0.006044111195570358,0.007274338008230259,0.009367917122664842,0.0004671552991792656,0.0040739699016685855,0.005189024588315602,0.0071554809411937285,0.0016287945375689705,0.001863280804482868,0.004438124601654883,0.005722703547845337,0.010577322711457266,0.021717681348703763,0.004106296136446692,0.0047278256333938935,0.004543318556643241
George R.R. Martin,0.023704982501395307,0.01236754521030616,0.004418499051692488,0.009435970641523697,0.004834393838980605,0.004257535780042445,0.0007347211437146974,0.0011992156796186996,0.002941957376269176,0.004030408711177119,0.004509123110782655,0.005320841600850385,0.0036772718247178216,0.06685112491942409,0.0044397130639162695,0.003954874153004657,0.004555343520424632,0.006511893395258584,0.0039750742791527125,0.0041804487560296024,0.00320380349999468,0.004585257521144104,0.010439830835025801,0.005303097979551242,1.0,0.0037489495924936337,0.003336204008966935,0.003075824503959651,0.04697680382367833,0.007410090472892827,0.0023650649580943244,0.007889187750000358,0.00523944976201291,0.00623816674498879,0.041781562077979506,0.0032258064516129032,0.011304050493157006,0.000487615254474101,0.03173807788143955,0.0030415074594487192,0.004106718853415537,0.0020650891149004437,0.002474128078180831,0.0025477229119334225,0.0030577731124278823,0.0037288334174767727,0.006225423243117148,0.003772745950045062,0.003510012437664202,0.002693107300348076
C.S. Lewis,0.0422244397968799,0.01175704664593635,0.04779060102483426,0.0608330511197178,0.0021300819455834417,0.0020693648411511463,0.029088867287335195,0.01921065400460998,0.03288467841728195,0.0020563459482924405,0.002346664426719415,0.012986504851644171,0.02302869802865626,0.007426479932088359,0.01647837296642001,0.0388701219446489,0.025380979687056122,0.04196353841356481,0.020286137272272745,0.0021534452741537985,0.05148195839377576,0.0023527448772409096,0.003684154702015481,0.0025970764397982697,0.0037489495924936337,1.0,0.0033852839581137543,0.06303665808058528,0.02380698711159992,0.0028199296608852824,0.002543714176735278,0.016387600657413504,0.017953856095256095,0.0027725337097613276,0.0069050799649197645,0.020950834474066378,0.003378290647534955,0.0005330050548326939,0.002102187971608585,0.02319821083092697,0.002053027870722929,0.0043278999767259905,0.002478523204068452,0.0016446813619133709,0.01814860103571741,0.0021235975553430047,0.0029283618766630186,0.0018882505011264125,0.0018399209326764845,0.020859007843243696
Martin Luther King Jr.,0.0035219619512276514,0.0020427897816891524,0.0021287168505914555,0.002247919052445784,0.0023772271150013713,0.0024327274920255396,0.0008716163601285616,0.0015942643422970086,0.00527447634086301,0.00246678046136845,0.002890313792676375,0.006359796646743356,0.002221380094082091,0.002514703227541894,0.0037794386066550383,0.0025079176972913017,0.002238583479084077,0.0034013772812920315,0.002164660645460264,0.0026214314640796697,0.0018885539568771917,0.003039527525811167,0.0037799087804074494,0.003154414528647149,0.003336204008966935,0.0033852839581137543,1.0,0.0019351087457321376,0.0019661257571766534,0.0032296273385329657,0.0023917004386306,0.003598440858990915,0.0030214501784020555,0.0032797291536016157,0.0022939471241714524,0.0023964571986131917,0.003562014532826415,0.0005465875371255518,0.0023949462588791232,0.002128481205493775,0.0025560183924398096,0.0021344798939418423,0.0026179149171829588,0.0020312176276992755,0.0022028984729290943,0.0027835251028088598,0.0034606922335245834,0.0020920927089047143,0.002122154601238388,0.002027441594727328
James Baldwin,0.011195049271676227,0.02726412952840162,0.08469868253750334,0.03782363752694074,0.008283180289330588,0.007595258014626717,0.0006208700407968021,0.0009261757528407352,0.03315870093850834,0.046415948303444234,0.03321460891255977,0.03012963061466368,0.07137693349661878,0.021431332046028748,0.0018493708887957151,0.14692199943986534,0.030812717509032778,0.11439013443365542,0.030902808343649203,0.005187049134063884,0.09220285506720563,0.004181517441853079,0.0029942280020683718,0.003755656697426569,0.003075824503959651,0.06303665808058528,0.0019351087457321376,1.0000000000000002,0.04894272570667495,0.003877378181350757,0.001528323455983561,0.0032454449760784534,0.00408404785089436,0.0036759700819727122,0.009595505430241775,0.05853547507210841,0.0032819751749366397,0.0004361397719554141,0.006340703954358883,0.007127379886894152,0.006940391010834346,0.0012387084088095219,0.0016303509617263295,0.004363665468419589,0.03699431685588964,0.004195113253438579,0.0033457062879988218,0.013694667384575162,0.01753547155052593,0.005571227360592708
Haruki Murakami,0.1078055725807612,0.0058048286611819405,0.04829569390701016,0.013247719103687054,0.006939017006137289,0.00865875176086431,0.000617633528333113,0.0009163324884649417,0.04773881456420707,0.11695469265467025,0.068142203195943,0.002533892971844093,0.013989181398043293,0.06788957909313839,0.001833960918760312,0.00831368825382768,0.006035191028557898,0.0036772718247178216,0.04810805023672537,0.006251978791415098,0.006358592395027043,0.1635569310110583,0.0030219945437803012,0.0041124534823530805,0.04697680382367833,0.02380698711159992,0.0019661257571766534,0.04894272570667495,1.0,0.004013357109228519,0.0014523806289703728,0.003352589517785275,0.004499532363740914,0.003912754240732228,0.011573566205623142,0.005918103448053322,0.003297096098893694,0.0004341238944802102,0.00497084706308403,0.06652986310238954,0.008061348338900941,0.00121949765054135,0.001556475549830507,0.006093434047544358,0.008671994686329258,0.00507330352189515,0.003549967893477193,0.008025356467391059,0.01614640363854147,0.008759589626469435
Alexandre Dumas fils,0.007063104205582895,0.004083999986296518,0.0040986383131211175,0.03266247344933138,0.006510215372757955,0.00736264385983919,0.0006998913215272985,0.0011046665370737755,0.002584204813154145,0.0074313919229707995,0.011232461096405154,0.0046218552826137954,0.005501226650388472,0.005909000102841317,0.003297470177651124,0.006083951156780755,0.005149391959427027,0.023988348797055487,0.004949025262436257,0.008752756557892842,0.0035400072930814475,0.011120241405269453,0.011495030116828685,0.016555167490559974,0.007410090472892827,0.0028199296608852824,0.0032296273385329657,0.003877378181350757,0.004013357109228519,1.0,0.001877259954096116,0.01876066261549568,0.017243547271426157,0.0287840927785485,0.006037417352183703,0.005560416995355371,0.015958379638849947,0.0004714725298423351,0.004785022447127384,0.004653246273822704,0.007010117275107753,0.0017167457895970325,0.002017203684147442,0.003771123757334244,0.004869456051670422,0.007214808160889281,0.018285627521384545,0.004523251669082041,0.004858301203419618,0.0039853711838652136
